id,title,company,location,link,image_url,compensation,published_date,metadata
fd1d0ed3-1da4-40e3-95f2-eadf63d81cd0,Customer Service Executive,Propseller,"Singapore, Singapore",https://www.techinasia.com/jobs/fd1d0ed3-1da4-40e3-95f2-eadf63d81cd0,https://cdn.techinasia.com/data/images/giZpzuxiSBu26mtKUNL09PphyIR1tdXppw1gFwsD.png,"SGD 2,800 – 3,100 with equity",30 May 2025,"Customer Service,Property marketplaces,Full-time"
37851236-d374-4d58-8bdc-582fd57f7207,Senior Client Success / Support Manager,Rida.ai,"Singapore, Singapore",https://www.techinasia.com/jobs/37851236-d374-4d58-8bdc-582fd57f7207,https://cdn.techinasia.com/data/images/80mULU5RfwNrFblRuftnUZc7oeD6n9nHdwXLvCfB.png,"SGD 4,000 – 8,000 with equity",29 May 2025,"Customer Service,Artificial Intelligence,Full-time"
fa32c72a-ed04-4278-84a2-1d57653dc21e,Head of Operations,Rida.ai,"Singapore, Singapore",https://www.techinasia.com/jobs/fa32c72a-ed04-4278-84a2-1d57653dc21e,https://cdn.techinasia.com/data/images/80mULU5RfwNrFblRuftnUZc7oeD6n9nHdwXLvCfB.png,"SGD 6,000 – 12,000 with equity",29 May 2025,"Logistics & Operations,Artificial Intelligence,Full-time"
0c495e6f-da17-4451-bbec-ecb9b5d21679,Senior Sales Development Rep,Rida.ai,"Singapore, Singapore",https://www.techinasia.com/jobs/0c495e6f-da17-4451-bbec-ecb9b5d21679,https://cdn.techinasia.com/data/images/80mULU5RfwNrFblRuftnUZc7oeD6n9nHdwXLvCfB.png,"SGD 6,000 – 12,000 with equity",29 May 2025,"Sales & Business Development,Artificial Intelligence,Full-time"
2aa644fe-fc69-456e-bdf5-e9fa2b222019,Operations Manager,Rida.ai,"Singapore, Singapore",https://www.techinasia.com/jobs/2aa644fe-fc69-456e-bdf5-e9fa2b222019,https://cdn.techinasia.com/data/images/80mULU5RfwNrFblRuftnUZc7oeD6n9nHdwXLvCfB.png,"SGD 3,000 – 6,000",29 May 2025,"Logistics & Operations,Artificial Intelligence,Full-time"
67c8b409-7711-43fe-ab0a-8e04e92bfd07,Project Manager,Rida.ai,"Singapore, Singapore",https://www.techinasia.com/jobs/67c8b409-7711-43fe-ab0a-8e04e92bfd07,https://cdn.techinasia.com/data/images/80mULU5RfwNrFblRuftnUZc7oeD6n9nHdwXLvCfB.png,"SGD 3,500 – 7,000 with equity",29 May 2025,"Logistics & Operations,Artificial Intelligence,Full-time"
260886ca-9259-49c4-b2ef-adf5c31184e6,Tech Lead (Cybersecurity),Microsec,"Singapore, Singapore",https://www.techinasia.com/jobs/260886ca-9259-49c4-b2ef-adf5c31184e6,https://cdn.techinasia.com/data/images/RtEn1Q9x75tIGuJuxZN1eye0WayYvzrG7JCoygVb.jpeg,"SGD 7,000 – 10,000 with equity",21 May 2025,"Project & Product Management,Network Security,Full-time"
791c9383-b911-4d56-a674-687297402275,Pre-sales & Consultant,Microsec,"Singapore, Singapore",https://www.techinasia.com/jobs/791c9383-b911-4d56-a674-687297402275,https://cdn.techinasia.com/data/images/RtEn1Q9x75tIGuJuxZN1eye0WayYvzrG7JCoygVb.jpeg,"SGD 6,000 – 10,000",21 May 2025,"DevOps & Cloud Management,Network Security,Full-time"
f2014532-b5f3-49a4-902f-c03e38fed8f4,Technical Product Manager,Microsec,"Singapore, Singapore",https://www.techinasia.com/jobs/f2014532-b5f3-49a4-902f-c03e38fed8f4,https://cdn.techinasia.com/data/images/RtEn1Q9x75tIGuJuxZN1eye0WayYvzrG7JCoygVb.jpeg,"SGD 6,000 – 10,000",21 May 2025,"Project & Product Management,Network Security,Full-time"
5bc77831-57db-4f03-9b56-460e2a9f296d,"Solution Architect, IoT Cybersecurity",Microsec,"Singapore, Singapore (Remote)",https://www.techinasia.com/jobs/5bc77831-57db-4f03-9b56-460e2a9f296d,https://cdn.techinasia.com/data/images/RtEn1Q9x75tIGuJuxZN1eye0WayYvzrG7JCoygVb.jpeg,"SGD 6,000 – 10,000 with equity",21 May 2025,"DevOps & Cloud Management,Network Security,Full-time"
070ecd0e-fd89-42be-b999-d88dddd6fdd4,Embedded Developer,Microsec,"Singapore, Singapore",https://www.techinasia.com/jobs/070ecd0e-fd89-42be-b999-d88dddd6fdd4,https://cdn.techinasia.com/data/images/RtEn1Q9x75tIGuJuxZN1eye0WayYvzrG7JCoygVb.jpeg,"SGD 6,000 – 10,000",21 May 2025,"Hardware & Embedded Systems,Network Security,Full-time"
0b3d8b47-9538-490a-8ce0-0b390f536b6d,Financial Operations Associate,Shift Markets,"Singapore, Singapore (Remote)",https://www.techinasia.com/jobs/0b3d8b47-9538-490a-8ce0-0b390f536b6d,https://cdn.techinasia.com/data/images/uAmU8bKEVcxRGTxEsJgb5jHn5HwrjFuEASIA1TFO.png,"SGD 2,500 – 3,200",20 May 2025,"Finance, Legal & Accounting,SaaS,Full-time"
358ffd0f-d180-45eb-8cfd-5080e24b9527,Associate Sales Development Representative,REWARDZ PTE,"Singapore, Singapore",https://www.techinasia.com/jobs/358ffd0f-d180-45eb-8cfd-5080e24b9527,https://cdn.techinasia.com/data/images/6ofJPLv33aeWhzLlOEo1Fhb062sME42ecKkdVJ9E.png,"SGD 3,000 – 3,500",2 May 2025,"Sales & Business Development,SaaS,Full-time"
231f9065-4e41-48c0-b253-f9b86806db81,Software Test Lead,Cyberbot Pte Ltd,"Singapore, Singapore",https://www.techinasia.com/jobs/231f9065-4e41-48c0-b253-f9b86806db81,https://cdn.techinasia.com/data/images/ejpeSHtVUaosWMrnpMClQCknZhQ9NlwoG82yguVg.jpeg,"SGD 5,000 – 10,000",26 Apr 2025,"QA & Testing,Software,Full-time"
6e4d9e8b-213b-47e4-976d-cb9349f45b88,Senior Frontend Engineer (Andriod/iOS/Flutter),Cyberbot Pte Ltd,"Singapore, Singapore",https://www.techinasia.com/jobs/6e4d9e8b-213b-47e4-976d-cb9349f45b88,https://cdn.techinasia.com/data/images/ejpeSHtVUaosWMrnpMClQCknZhQ9NlwoG82yguVg.jpeg,"SGD 10,000 – 20,000",25 Apr 2025,"Software Engineer,Software,Full-time"
c857b86b-5569-493f-a254-916e3e5eb7dc,Business Development Executive,Codigo,"Singapore, Singapore",https://www.techinasia.com/jobs/c857b86b-5569-493f-a254-916e3e5eb7dc,https://cdn.techinasia.com/data/images/133SId723WxQdekAaSwvW9OmS6enNylzqa6iIZKh.png,"SGD 3,000 – 3,800",16 Apr 2025,"Sales & Business Development,Mobile Advertising, Enterprise Application,Full-time"
bb35a2df-ff1c-402e-92ae-79dc81c9542b,Events Director,Tech in Asia,"Singapore, Singapore",https://www.techinasia.com/jobs/bb35a2df-ff1c-402e-92ae-79dc81c9542b,https://cdn.techinasia.com/data/images/6EMK5Rmd84EJKTuPwx159cOMotV7fTvpMeZ7C1kL.png,"SGD 5,000 – 6,000",15 Apr 2025,"Event Management,Digital Media,Full-time"
e2765269-77c3-4e58-be03-eeedb744d844,"Associate Customer Support Engineer, APAC",Figment,"Singapore, Singapore",https://www.techinasia.com/jobs/e2765269-77c3-4e58-be03-eeedb744d844,https://cdn.techinasia.com/data/images/gFcBcdiaQwYpG3PsMYV5dNGJpRuqtheJZbTjJVP3.jpeg,,1d ago,"Customer Service,Internet technology,Full-time"
d05bde89-807e-4852-b41a-2c46bca44a6d,"Majors Account Executive, Growth",Grafana Labs,"Singapore, Singapore",https://www.techinasia.com/jobs/d05bde89-807e-4852-b41a-2c46bca44a6d,https://cdn.techinasia.com/data/images/HKlysuVFZ0QRqjBI3zkIlG4Px1scAryC1N6qsgHJ.jpeg,"SGD 380,000 – 400,000 with equity",1d ago,"Sales & Business Development,Software,Full-time"
64a24528-ddf1-4030-b854-c433c67d58df,"Director, Crypto Partnerships and Go to Market Strategy, Asia Pacific",Visa,"Singapore, Singapore",https://www.techinasia.com/jobs/64a24528-ddf1-4030-b854-c433c67d58df,https://cdn.techinasia.com/data/images/ca1eeb9c60c4907711d723590a0d1050.jpg,,1d ago,"Sales & Business Development,Payments and remittance,Full-time"
a2dc363b-2330-4608-b690-835fc2b70d71,"Marketing Associate, Mobility",Grab,"Singapore, Singapore",https://www.techinasia.com/jobs/a2dc363b-2330-4608-b690-835fc2b70d71,https://cdn.techinasia.com/data/images/9aff8841d561bcfc32159446e04a3832.png,,1d ago,"Marketing & PR,Transportation,Full-time"
